Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
中歐和波羅的海,CEB,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1135004,1135004,1134934,1134934,1134934,1134934,1134934,1134988,1134994,1134994,1134984,1134984,1134989,1134994,1134991,1134990,1134990,1166998,1166978,1166978,1166978,1166783,1166797,1166797.04,1166811.01,1166811.04
瑞士,CHE,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7
海峡群岛,CHI,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198
智利,CHL,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756700,756700,756700,756700,756700,756700
中国,CHN,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562940,9562930,9562930,9562930,9562930,9562920,9562914.2,9562913.2,9562912.7,9562912.5,9562911.8,9562911.4,9562910.8,9562910.8,9562911,9562911,9562911,9562911,9562911,9562911,9562911,9562910,9562910,9562910,9562910,9562910,9562910
科特迪瓦,CIV,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460
喀麦隆,CMR,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440
刚果（金）,COD,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860
刚果（布）,COG,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000
哥伦比亚,COL,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141748,1141749,1141749,1141749,1141749,1141749,1141750,1141750,1140619.05,1140619.05
